,idx
639,229181
640,32388
641,23387
642,264005
643,14608
644,40327
645,28996
646,169707
647,257433
648,125024
649,134456
650,222400
651,256125
652,176190
653,229925
654,225196
655,215555
656,90116
657,188510
658,78889
659,50366
660,104544
661,108665
662,127949
663,29285
664,91315
665,62650
666,137094
667,200952
668,158847
669,140770
670,241
671,39477
672,250578
673,86538
674,202121
675,49752
676,225028
677,68439
678,223894
679,91372
680,9007
681,245613
682,188525
683,87130
684,248743
685,33175
686,188476
687,246159
688,26698
689,188395
690,222977
691,3135
692,94444
693,193269
694,86739
695,170133
696,99545
697,188114
698,262453
699,106436
700,8447
701,44001
702,40896
703,90871
704,95780
705,36427
706,118340
707,17210
708,206186
709,184600
710,44177
711,27577
712,78865
713,210494
714,134529
715,22414
716,270490
717,32222
718,94131
719,247306
720,54939
721,169708
722,97167
723,122755
724,151741
725,52484
726,173133
727,134274
728,49235
729,27461
730,34821
731,221473
732,42327
733,79318
734,220097
735,111902
736,106201
737,196817
738,27737
739,187884
740,166037
741,221370
742,243908
743,256813
744,73762
745,268405
746,247206
747,95772
748,261758
749,86495
750,152982
751,181528
752,67920
753,223445
754,161227
755,120776
756,103937
757,45547
758,205263
759,235914
760,113914
761,78897
762,144160
763,49280
764,140669
765,35085
766,45847
767,233079
768,230855
769,74554
770,200312
771,149352
772,147525
773,160267
774,209973
775,136852
776,93767
777,37878
778,57109
779,244033
780,110371
781,220071
782,16634
783,265795
784,65763
785,54218
786,189058
787,155351
788,229418
789,132958
790,220990
791,100564
792,212292
793,91071
794,122883
795,152988
796,120158
797,233063
798,242654
799,65672
800,140982
801,242763
802,180506
803,74621
804,187724
805,191907
806,106526
807,263414
808,29620
809,240420
810,268864
811,94308
812,14879
813,119310
814,257963
815,86595
816,53853
817,4330
818,40514
819,185884
820,68479
821,140949
822,190987
823,41716
824,27624
825,192878
826,78281
827,208815
828,168757
829,6884
830,18651
831,221115
832,147522
833,246451
834,41959
835,261478
836,187256
837,185743
838,55666
839,23576
840,58943
841,116033
842,78272
843,178130
844,43247
845,53968
846,222226
847,86694
848,5794
849,84760
850,209067
851,111337
852,98743
853,37363
854,258026
855,234873
856,204806
857,31218
858,94897
859,114274
860,106708
861,169332
862,75797
863,27341
864,268152
865,139625
