,idx
639,220523
640,226184
641,144056
642,108793
643,106200
644,244482
645,49782
646,152988
647,137094
648,45111
649,42274
650,127500
651,200347
652,204806
653,235275
654,37476
655,256125
656,203220
657,46571
658,40301
659,162589
660,94308
661,29429
662,55566
663,209067
664,44001
665,59843
666,270490
667,64341
668,202522
669,245391
670,86921
671,215555
672,22169
673,2084
674,40898
675,168824
676,106608
677,214925
678,223623
679,160472
680,151741
681,18755
682,15763
683,139409
684,23576
685,53968
686,27341
687,127949
688,192878
689,35999
690,175948
691,26619
692,247206
693,183446
694,237224
695,91372
696,170024
697,221159
698,34923
699,256105
700,111337
701,244247
702,55421
703,153036
704,40423
705,110371
706,253912
707,150462
708,40264
709,57109
710,259378
711,199600
712,212292
713,34848
714,97718
715,52484
716,33175
717,18421
718,80705
719,91071
720,140728
721,222400
722,184182
723,14182
724,55666
725,188108
726,8488
727,100564
728,247306
729,100891
730,96387
731,126131
732,236682
733,114274
734,118340
735,30723
736,106436
737,196304
738,32676
739,109357
740,116881
741,147902
742,147522
743,188525
744,78889
745,252023
746,256267
747,40133
748,70242
749,236385
750,254462
751,106708
752,159784
753,108792
754,90871
755,226739
756,251666
757,246159
758,137110
759,55359
760,140949
761,250495
762,259795
763,49621
764,171423
765,74621
766,165639
767,65763
768,97053
769,54378
770,34898
771,31725
772,239432
773,10806
774,162697
775,127046
776,3776
777,149352
778,118198
779,232890
780,159929
781,242732
782,48869
783,87130
784,68479
785,3580
786,252605
787,54218
788,100948
789,65424
790,158393
791,35676
792,141752
793,242180
794,27737
795,148036
796,139279
797,6399
798,18651
799,209973
800,185884
801,253865
802,49235
803,229418
804,36427
805,135148
806,35478
807,252125
808,116033
809,94292
810,223894
811,139625
812,183626
813,214082
814,91088
815,133282
816,60474
817,43247
818,162306
819,211910
820,243908
821,136852
822,259304
823,215651
824,13799
825,107065
826,49752
827,13033
828,91244
829,243174
830,79586
831,170117
832,16911
833,88140
834,94131
835,241
836,244264
837,170200
838,113914
839,125024
840,262424
841,83975
842,93767
843,221293
844,135411
845,225028
846,84760
847,73762
848,179960
849,228689
850,96710
851,37827
852,248658
853,134529
854,83286
855,188544
856,165443
857,97167
858,108101
859,221473
860,34821
861,258026
862,152982
863,176190
864,171103
865,196662
866,189058
867,162524
868,187928
869,113341
870,45261
871,74787
872,261478
873,65078
874,157737
875,263414
876,29988
877,44177
878,26698
879,246451
880,108796
881,170419
882,256087
883,106952
884,23115
885,102941
886,180506
887,158847
888,89815
889,169642
890,154330
891,111902
892,168563
893,229685
894,46062
895,152046
896,183594
897,135324
898,46094
899,202121
900,96920
901,202727
902,240833
903,61771
904,240461
905,41959
906,106729
907,149257
908,242654
909,9894
910,156701
911,168757
912,37406
913,207095
914,76121
915,34781
916,181882
917,134456
918,171172
919,103937
920,222137
921,7310
922,187724
923,168910
924,54533
925,49280
926,53561
927,78097
928,172276
929,11982
930,269993
931,94444
932,219710
933,148129
934,221370
935,170159
936,21785
937,154378
938,222977
939,15306
940,166037
941,123798
942,41716
943,192986
944,4799
945,116543
946,51502
947,242973
948,14879
949,196817
950,180699
951,32272
952,242763
953,171311
954,25532
955,95815
956,268864
957,89005
958,45847
959,161227
960,101147
961,37453
962,23748
963,23688
964,103246
965,77886
966,221185
967,254904
968,135993
969,17548
970,143908
971,238155
972,106561
973,252123
974,237522
975,274
976,18795
977,3390
978,118247
979,206282
980,243855
981,240629
982,27461
983,261341
984,135216
985,44432
986,222198
987,187337
988,128862
989,187256
990,253093
991,52113
992,3780
993,204935
994,74689
995,192491
996,130019
997,229897
998,101514
999,215975
1000,22118
1001,128457
1002,140770
1003,206269
1004,162168
1005,225821
1006,39477
1007,211587
1008,122189
1009,181843
1010,26776
1011,201171
1012,173889
1013,134274
1014,74486
1015,194018
1016,95051
1017,270845
1018,41621
1019,186330
1020,64267
1021,45664
1022,40327
1023,51033
1024,229181
1025,129401
1026,133263
1027,178812
1028,13005
1029,95397
1030,24171
1031,156189
1032,223780
1033,58943
1034,71792
1035,202949
1036,75797
1037,33371
1038,221115
1039,191907
1040,171194
1041,90787
1042,229142
1043,265795
1044,26368
1045,69863
1046,264379
1047,186969
1048,77749
1049,129782
1050,212435
1051,211727
1052,32779
1053,14101
1054,53853
1055,16634
1056,222226
1057,203340
1058,188395
1059,35085
1060,41603
1061,83549
1062,190584
1063,253628
1064,86739
1065,89363
1066,6247
1067,121424
1068,43387
1069,264005
1070,19558
1071,17431
1072,35830
1073,49560
1074,107001
1075,191671
1076,263448
1077,226128
1078,129176
1079,31638
1080,240420
1081,176977
1082,215871
1083,247212
1084,178130
1085,112712
1086,144936
1087,144160
1088,219517
1089,118375
1090,96402
1091,18024
1092,184600
1093,222031
1094,15023
1095,220455
1096,167261
1097,235955
1098,140340
1099,42327
1100,130091
1101,186978
1102,165682
1103,103443
1104,68698
1105,106567
1106,181717
1107,169708
1108,51226
1109,2315
1110,2312
1111,199939
1112,235914
1113,67045
1114,236428
1115,91624
1116,259288
1117,117037
1118,25928
1119,17272
1120,78410
1121,148423
1122,45244
1123,1990
1124,248026
1125,237787
1126,129442
1127,200312
1128,106526
1129,110447
1130,125781
1131,32654
1132,197843
1133,91397
1134,96806
1135,159883
1136,42004
1137,145335
1138,105651
1139,31218
1140,163783
1141,133172
1142,144905
1143,155700
1144,40712
1145,49375
1146,40354
1147,29732
1148,1568
1149,262593
1150,95229
1151,166753
1152,162834
1153,80605
1154,234873
1155,99504
1156,85821
1157,145019
1158,92916
1159,45694
1160,65672
1161,246399
1162,223824
1163,255016
1164,122883
1165,6884
1166,103131
1167,179861
1168,268361
1169,257433
1170,98879
1171,5913
1172,258068
1173,126570
1174,219382
1175,223651
1176,164181
1177,45030
1178,242618
1179,75498
1180,86741
1181,214585
1182,86975
1183,35875
1184,44959
1185,33222
1186,144918
1187,150779
1188,84683
1189,232864
1190,156191
1191,191273
1192,9363
1193,226450
1194,52507
1195,233079
1196,53005
1197,13613
1198,149583
1199,103257
1200,230855
1201,201179
1202,208764
1203,180151
1204,8961
1205,244033
1206,26988
1207,7992
1208,107243
1209,95217
1210,78
1211,56424
1212,258041
1213,205107
1214,88215
1215,203932
1216,233063
1217,13756
1218,248743
1219,4797
1220,183859
1221,261758
1222,40514
1223,107103
1224,263146
1225,83297
1226,119310
1227,220071
1228,12538
1229,152933
1230,33461
1231,32222
1232,74333
1233,186086
1234,231649
1235,139317
1236,147929
1237,39032
1238,51262
1239,39084
1240,199547
1241,232891
1242,135021
1243,126091
1244,29620
1245,94897
1246,270817
1247,186306
1248,55682
1249,151530
1250,237249
1251,147940
1252,201189
1253,42646
1254,62245
1255,127022
1256,188302
1257,137582
1258,2108
1259,232961
1260,203873
1261,104544
1262,4740
1263,35449
1264,155741
1265,58494
1266,32775
1267,242204
1268,110395
1269,129362
1270,263692
1271,179158
1272,142146
1273,215873
1274,42418
1275,265939
1276,223810
1277,27081
1278,165803
1279,222147
1280,148130
1281,45547
1282,106490
1283,92319
1284,6872
1285,242171
1286,86788
1287,55599
1288,4330
1289,240481
1290,128959
1291,239398
1292,235956
1293,41714
1294,111999
1295,233162
1296,118542
1297,160405
1298,87901
1299,133813
1300,263840
1301,98709
1302,46083
1303,193932
1304,50636
1305,182594
1306,238612
1307,243217
1308,78163
1309,265239
1310,233110
1311,110198
1312,132957
1313,242177
1314,103932
1315,6897
1316,208277
1317,196387
