,idx
639,190651
640,206357
641,2315
642,144111
643,214633
644,111862
645,181096
646,42947
647,216327
648,127571
649,60177
650,106277
651,256383
652,219879
653,51941
654,248367
655,269428
656,42579
657,44093
658,206318
659,183117
660,22325
661,187256
662,121346
663,116467
664,181864
665,167891
666,149756
667,65103
668,93216
669,45869
670,82332
671,34120
672,123058
673,216385
674,37187
675,136794
676,145858
677,3165
678,179198
679,11233
680,105040
681,135479
682,247544
683,146767
684,84427
685,44189
686,161951
687,19834
688,228661
689,82626
690,25717
691,76749
692,229294
693,144066
694,120049
695,106561
696,167801
697,254709
698,245740
699,223011
700,109079
701,22963
702,168505
703,68479
704,121395
705,188544
706,58718
707,60185
708,31477
709,79945
710,168667
711,162158
712,249745
713,138864
714,72033
715,153569
716,95065
717,139024
718,20189
719,258636
720,121085
721,184130
722,60191
723,169729
724,49245
725,70378
726,250
727,144487
728,144475
729,24319
730,115508
731,106608
732,232620
733,123498
734,35452
735,123945
736,97524
737,7674
738,239671
739,133678
740,177246
741,140430
742,174154
743,180244
744,66764
745,59337
746,135629
747,244376
748,2237
749,22113
750,202323
751,64796
752,170497
753,145209
754,198704
755,127072
756,78954
757,68599
758,115754
759,41032
760,200689
761,220070
762,157772
763,129008
764,236222
765,142636
766,184402
767,124412
768,157333
769,74716
770,63449
771,44076
772,21966
773,118929
774,104395
775,182425
776,201434
777,243987
778,201813
779,176537
780,230062
781,243649
782,217560
783,56971
784,134828
785,67947
786,257365
787,82017
788,134587
789,30689
790,60791
791,172871
792,138329
793,15645
794,269237
795,137926
796,155916
797,14201
798,157113
799,252416
800,33811
801,60152
802,242607
803,62399
804,186086
805,120792
806,32735
807,240094
808,59992
809,59881
810,104130
811,197446
812,80244
813,72010
814,56733
815,99455
816,228737
817,24700
818,183905
819,38440
820,135412
821,200413
822,269139
823,211935
824,156679
825,250430
826,146878
827,201805
828,75340
829,77438
830,180506
831,43303
832,142162
833,117289
834,40946
835,198365
836,140758
837,147531
838,168005
839,238575
840,264052
841,143050
842,7337
843,253230
844,54806
845,97015
846,67385
847,28471
848,17077
849,243843
850,224500
851,34650
852,57443
853,80062
854,165163
855,247485
856,256954
857,163462
858,36937
859,155812
860,240602
861,100277
862,97392
863,63170
864,222022
865,263498
866,160265
867,107973
868,170566
869,36427
870,32650
871,85222
872,267593
873,174915
874,212800
875,242569
876,172097
877,206400
878,31397
879,270336
880,196490
881,256648
882,32341
883,237969
884,119255
885,6513
886,75324
887,80732
888,72034
889,84989
890,92329
891,211959
892,43557
893,211677
894,255234
895,8059
896,21083
897,12473
898,59713
899,262469
900,80751
901,256996
902,227935
903,178650
904,34369
905,255343
906,8008
907,35635
908,237435
909,39720
910,97572
911,95678
912,86215
913,90511
914,211500
915,218194
916,248471
917,138354
918,42896
919,89854
920,96958
921,53873
922,217735
923,36463
924,153173
925,112984
926,174225
927,41205
928,250920
929,98832
930,116491
931,80009
932,133811
933,220751
934,29154
935,97178
936,157102
937,233618
938,238696
939,44859
940,244495
941,178902
942,110985
943,60630
944,202186
945,237166
946,148500
947,120651
948,98352
949,132059
950,161901
951,109101
952,6141
953,268703
954,142972
955,188432
956,118875
957,155652
958,21247
959,140143
960,215302
961,250707
962,172577
963,156113
964,244464
965,133218
966,75722
967,119811
968,39740
969,246690
970,155816
971,69354
972,77371
973,84196
974,70630
975,198907
976,33871
977,86631
978,253040
979,22094
980,194787
981,264667
982,166977
983,265077
984,195025
985,165480
986,229867
987,182265
988,37527
989,95319
990,264088
991,173608
992,101804
993,209807
994,251234
995,84668
996,141062
997,32618
998,171745
999,32817
1000,238002
1001,253670
1002,159740
1003,93639
1004,248679
1005,125729
1006,16258
1007,114080
1008,242950
1009,81094
1010,173328
1011,139276
1012,261905
1013,37335
1014,55905
1015,132363
1016,149244
1017,33690
1018,75471
1019,268976
1020,74046
1021,136824
1022,9953
1023,12048
1024,84422
1025,27092
1026,115449
1027,223302
1028,128293
1029,267278
1030,121692
1031,174767
1032,128626
1033,90497
1034,193962
1035,88445
1036,114274
1037,175841
1038,86188
1039,175337
1040,267859
1041,251908
1042,184495
1043,66671
1044,201611
1045,178998
1046,92962
1047,16445
1048,67409
1049,114378
1050,118559
1051,142178
1052,218958
1053,253861
1054,59055
1055,75759
1056,235307
1057,30133
1058,206186
1059,210477
1060,256856
1061,189584
1062,45964
1063,256267
1064,110740
1065,210847
1066,49638
1067,170213
1068,107284
1069,94775
1070,202406
1071,201628
1072,77445
1073,61064
